zoning_summary,count,total_sqft
H-IZ-LS-TR-PS,297,2680867.4631804917
H-IZ-PR-HO-LS-PS,1,163136.44008496878
H-IZ-PR-HO-LS-TR-PS,7,2058818.0058196075
H-IZ-PR-LS-PS,4,1950621.1144978283
H-IZ-PR-LS-TR-PS,1,248803.21942248178
H-IZ-PR-PS,1,16999.046631586993
H-IZ-PS,36,244895.1014757992
H-IZ-TR,7,25265.342480701056
H-IZ-TR-HS,2,10112.05150331424
H-IZ-TR-PS,10,9269.911465431747
H-IZ-UM-PR-LS-TR-PS,1,593590.7230907939
H-IZ-UM-PR-PS,2,228733.79261423595
H-IZ-UM-PS,16,164758.4678288489
H-LS,309,3393622.4196343236
H-LS-HS,24,20893.965188475337
H-LS-PS,6998,108778570.64313835
H-LS-PS-HS,18,32510672.173439074
H-LS-TR,19,114377.91635249357
H-LS-TR-PS,365,8989797.60088143
H-LS-TR-SR-PS,1,88998.40979734935
H-NP-LS-PS,58,881390.6207060731
H-PR-HO-LS-PS,2,3161427.769697536
H-PR-HO-PS,1,7007.467294671022
H-PR-LS-PS,4,10541917.607829854
H-PR-LS-TR-PS,6,312002.99235944997
H-PR-PS,1,4297.519902330064
H-PR-TR,2,36740.38397936512
H-PR-TR-PS,2,48786.05457487736
H-PS,717,8365983.357340699
H-SR-PS,6,412990.4252146797
H-TR,26,158533.07161116225
H-TR-PS,59,1025174.7130164802
H-TR-SR-PS,18,556316.1823826532
H-UM,91,642174.0668264028
H-UM-LS,14,77545.74640774529
H-UM-LS-PS,671,26762330.554998808
H-UM-LS-SR-PS,1,356189.4748720656
H-UM-LS-TR-PS,69,9277853.746195994
H-UM-PR-HO-LS-PS,1,481917.3739738231
H-UM-PR-LS-PS,1,10285112.830864804
H-UM-PR-TR-PS,5,27581.877512021787
H-UM-PS,905,18411274.034789544
H-UM-SR-PS,20,2984242.819007285
H-UM-TR,7,163184.5426056294
H-UM-TR-PS,52,8507215.50246921
H-UM-TR-SR-PS,2,292489.3572272024
HC,1,2300.436160689659
HC-FP,11,159529.35131355378
HC-FP-LS-PS,19,1399213.2382528046
HC-FP-LS-TR-SR-PS,7,553150.4504376265
HC-FP-PR,1,26216.22247243309
HC-FP-PR-LS-PS,1,34366.5234186993
HC-FP-PS,3,46421.96784820304
HC-FP-SR,8,53202.46419381631
HC-FP-SR-PS,8,201479.5169096621
HC-FP-TR,7,171048.20846752432
HC-FP-TR-PS,4,166692.00001463012
HC-FP-TR-SR,7,86889.10856268511
HC-FP-TR-SR-PS,11,763313.6266963548
HC-FP-UM-LS-PS,3,1857581.6478249023
HC-FP-UM-PS,7,300966.2469502646
HC-FP-UM-SR-PS,5,594231.3142046672
HC-FP-UM-TR-SR-PS,1,250143.65782766134
HC-FP-UM-TR-SR-PS-HS,1,1344871.2907694895
HC-LS-PS,27,748459.2401491265
HC-LS-TR-PS,3,119956.13534354215
HC-PR-TR-PS,1,89784.81183353736
HC-TR,14,377229.36799461907
HC-TR-PS,62,1249404.792575066
HC-UM,45,608920.2469255283
HC-UM-LS-PS,3,1334999.3132509084
HC-UM-LS-TR-PS,1,1042149.1120170054
HC-UM-PR-LS-PS,1,510435.5822850708
HC-UM-PS,127,6171692.351275256
HC-UM-SR,7,58697.949118348755
HC-UM-SR-PS,2,105636.30081708438
HC-UM-TR-PS,7,4141145.1142135425
HC-UM-TR-SR-PS,3,1078076.985822081
LNC,1891,13845711.200513575
LNC-BC-PS,1,5564.194868755175
LNC-BC-TR,39,525310.3709237338
LNC-BC-TR-PS,5,157516.62967212885
LNC-FP,89,571511.7986194402
LNC-FP-LS-PS,1,29018.280279122777
LNC-FP-PR-HO-LS-RR-PS,1,1060596.6868890868
LNC-FP-PS,55,623539.2669355602
LNC-FP-SR,7,103215.91505224383
LNC-FP-SR-PS,34,380355.9995781578
LNC-FP-TR,18,207509.50762184057
LNC-FP-TR-HS,1,2955.1786350919238
LNC-FP-TR-PS,5,76009.60536850846
LNC-FP-TR-PS-HS,1,33317.84362570764
LNC-FP-TR-SR,3,109610.24371151322
LNC-FP-TR-SR-PS,18,267871.4362695704
LNC-FP-TR-SR-PS-HS,1,36812.58380349986
LNC-FP-UM-LS-TR-SR-PS,1,1740113.786182095
LNC-FP-UM-TR-PS,1,16374.095134437906
LNC-FP-UM-TR-SR-PS,1,250143.65782766134
LNC-FP-UM-TR-SR-PS-HS,1,1344871.2907694895
LNC-HD,365,2396625.285392496
LNC-HD-HS,1,23546.848912159596
LNC-HS,15,255119.30665300603
LNC-IZ,1006,5227223.479066541
LNC-IZ-BC,60,1126827.8896781206
LNC-IZ-BC-PS,2,13359.182046780455
LNC-IZ-BC-TR-PS,2,37858.44879772092
LNC-IZ-HS,2,30325.419107950707
LNC-IZ-LS-BC-PS,5,911326.131995972
LNC-IZ-LS-PS,3,23279926.592762344
LNC-IZ-LS-TR,70,349002.6251553576
LNC-IZ-LS-TR-PS,53,423465.5062834595
LNC-IZ-PS,53,701668.4142192723
LNC-IZ-PS-HS,2,1050668.3565343563
LNC-IZ-TR,24,122491.90884544131
LNC-IZ-TR-PS,13,103055.66205881153
LNC-IZ-UM,2,13058.871498250352
LNC-IZ-UM-PS,5,38755.521624042216
LNC-LS,28,243155.84216281812
LNC-LS-PS,158,4267661.414783543
LNC-LS-PS-HS,1,99465.11136286623
LNC-LS-TR-PS,12,1362307.24942549
LNC-NP,79,572466.6630776944
LNC-NP-HD,50,253562.43700640468
LNC-NP-HD-HS,2,26967.84766151457
